城市,景点,销量,票价,地址
北京,北京环球度假区,18009,508.0,北京市通州区京哈高速与东六环路交汇处西北角
北京,颐和园,9476,30.0,北京市海淀区新建宫门路19号
北京,天坛公园,8264,15.0,北京市东城区天坛东里甲1号
北京,北京野生动物园,9112,145.0,北京市大兴区榆垡镇万亩森林
北京,中国国家博物馆,7374,15.0,北京市东城区东长安街16号
北京,圆明园,5388,10.0,北京市海淀区清华西路28号
北京,北京欢乐谷,5019,299.0,北京市朝阳区东四环小武基北路
北京,故宫博物院,3423,108.0,北京市东城区景山前街4号
北京,恭王府,3968,40.0,北京市西城区前海西街17号
北京,天安门城楼,4860,10.0,北京市东城区西长安街天安门
北京,慕田峪长城,2490,45.0,北京市怀柔区渤海镇慕田峪村
北京,天安门广场,3704,10.0,北京市东城区东长安街
北京,北京动物园,2720,15.0,北京市西城区西直门外大街137号
北京,泡泡玛特城市乐园,3953,78.0,北京市朝阳区朝阳公园南路1号40幢
北京,北海公园,1996,10.0,北京市西城区文津街1号
北京,水立方(国家游泳中心),3640,48.0,北京市朝阳区天辰东路11号国家游泳中心内
北京,景山公园,1580,2.0,北京市西城区景山西街44号
北京,北京海洋馆,1526,165.0,北京市海淀区高粱桥斜街乙18号
北京,故宫珍宝馆,2645,148.0,北京市东城区景山前街4号故宫博物院宁寿宫内
北京,八达岭长城缆车,268,140.0,北京市延庆区G6京藏高速58号出口
北京,故宫钟表馆,2613,25.0,北京市东城区景山前街4号故宫博物院内
北京,明十三陵,476,30.0,北京市昌平区十三陵镇昌赤路
北京,雍和宫,2220,35.8,北京市东城区雍和宫大街28号
北京,十渡风景名胜区,20,35.9,北京市房山区十渡镇九渡大街9号
北京,明城墙遗址公园,53,869.0,北京市东城区崇文门东大街9号
北京,奥林匹克公园,74,38.8,北京市朝阳区北辰东路15号
北京,太庙,250,26.0,北京市东城区劳动人民文化宫东门
北京,青龙峡风景区,164,54.0,北京市怀柔区怀北镇大水峪村北500米
北京,北京汽车博物馆,186,30.0,北京市丰台区南四环西路126号
北京,八大处公园,324,10.0,北京市石景山区八大处路3号
北京,东六宫,38,68.0,北京市东城区故宫博物院内
北京,国家植物园(原北京植物园),262,5.0,北京市海淀区香山路与卧佛寺路交叉口
北京,石花洞,68,70.0,北京市房山区河北镇南车营村111号
北京,南石洋大峡谷森林公园,310,38.0,北京市门头沟区雁翅镇马套村西北200米
北京,龙潭公园,38,80.0,北京市东城区龙潭路16号
北京,香山公园,294,10.0,北京市海淀区买卖街40号
北京,居庸关长城,212,40.0,北京市昌平区S216(G6辅路)
北京,中央广播电视塔,394,79.0,北京市海淀区西三环中路11号
北京,黑龙潭风景区,22,60.0,北京市密云区石城镇大关桥
北京,北京天文馆,260,10.0,北京市西城区西直门外大街138号
北京,大运河森林公园,60,900.0,北京市通州区通怀路
北京,孔庙和国子监博物馆,72,48.8,北京市东城区安定门内国子监街15号
北京,国家会议中心,75,138.0,北京市朝阳区奥运村街道天辰东路7号
北京,潭柘寺,128,50.0,北京市门头沟区潭柘寺镇
北京,黄花城水长城,236,58.0,北京市怀柔区353乡道九渡河镇西水峪村
北京,红螺寺,128,54.0,北京市怀柔区红螺东路2号
